Id,Property building category,Property building type,Title,Built up price psf,Size built up,Valuation price,YEAR,QUARTER,NAME,Year completion,Property building category,Property building type
505138,HIGHRISE,MEDIUM COST,RESIDENTIAL,225,623,140000,2016,20161,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
522402,HIGHRISE,MEDIUM COST,RESIDENTIAL,264,568,150000,2016,20161,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
495424,HIGHRISE,MEDIUM COST,RESIDENTIAL,329,568,187000,2016,20161,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
486577,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,989,819,810400,2016,20161,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
505433,HIGHRISE,CONDO,RESIDENTIAL,1026,1389,1425000,2016,20161,HARBOURVIEW,1994,HIGHRISE,CONDO
505495,HIGHRISE,CONDO,RESIDENTIAL,1182,1776,2100000,2016,20161,HARBOURVIEW,1994,HIGHRISE,CONDO
506194,HIGHRISE,MEDIUM COST,RESIDENTIAL,241,623,150000,2016,20162,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
472804,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1000,367,366900,2016,20162,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
849642,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1022,367,375000,2016,20162,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
506413,HIGHRISE,CONDO,RESIDENTIAL,1099,764,840000,2016,20162,HARBOURVIEW,1994,HIGHRISE,CONDO
495644,HIGHRISE,CONDO,RESIDENTIAL,1066,797,850000,2016,20162,HARBOURVIEW,1994,HIGHRISE,CONDO
485931,HIGHRISE,CONDO,RESIDENTIAL,1187,3455,4100000,2016,20162,HARBOURVIEW,1994,HIGHRISE,CONDO
474263,HIGHRISE,MEDIUM COST,RESIDENTIAL,189,623,118000,2016,20163,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
523484,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,899,356,320200,2016,20163,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
524830,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1052,367,386000,2016,20163,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
757921,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1052,367,386000,2016,20163,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
528096,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1060,367,389200,2016,20163,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
524117,HIGHRISE,CONDO,RESIDENTIAL,916,764,700000,2016,20163,HARBOURVIEW,1994,HIGHRISE,CONDO
474464,HIGHRISE,CONDO,RESIDENTIAL,1112,764,850000,2016,20163,HARBOURVIEW,1994,HIGHRISE,CONDO
522753,HIGHRISE,CONDO,RESIDENTIAL,985,1421,1400000,2016,20163,HARBOURVIEW,1994,HIGHRISE,CONDO
527098,HIGHRISE,MEDIUM COST,RESIDENTIAL,273,568,155000,2016,20164,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
482530,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1000,410,409900,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
527011,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1084,604,654500,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
472124,HIGHRISE,CONDO,RESIDENTIAL,1144,743,850000,2016,20164,HARBOURVIEW,1994,HIGHRISE,CONDO
527010,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,945,905,855000,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
759281,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,945,905,855000,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
759285,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,945,905,855000,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
481989,HIGHRISE,CONDO,RESIDENTIAL,1158,743,860000,2016,20164,HARBOURVIEW,1994,HIGHRISE,CONDO
481451,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,971,905,878700,2016,20164,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
480855,HIGHRISE,CONDO,RESIDENTIAL,1185,743,880000,2016,20164,HARBOURVIEW,1994,HIGHRISE,CONDO
545404,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1024,367,375800,2017,20171,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
560403,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1024,367,375800,2017,20171,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
560730,HIGHRISE,CONDO,RESIDENTIAL,1066,1313,1400000,2017,20172,HARBOURVIEW,1994,HIGHRISE,CONDO
558413,HIGHRISE,MEDIUM COST,RESIDENTIAL,195,767,150000,2017,20173,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
558186,HIGHRISE,MEDIUM COST,RESIDENTIAL,261,767,200000,2017,20173,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
559355,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1000,410,409900,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
800047,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1447,367,531000,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
559357,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,879,819,720300,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
543688,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1094,819,895900,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
559351,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1000,981,981200,2017,20173,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
593348,HIGHRISE,MEDIUM COST,RESIDENTIAL,176,568,100000,2017,20174,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
756864,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1022,367,375000,2017,20174,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
654941,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1024,367,375800,2017,20174,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
838843,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1067,356,380000,2017,20174,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
717093,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,965,367,354000,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
838840,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,997,367,366000,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756870,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1022,367,375000,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
710966,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1024,367,375800,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
812851,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,989,819,810000,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
655991,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,989,819,810400,2018,20181,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
654191,HIGHRISE,CONDO,RESIDENTIAL,1243,764,950000,2018,20181,HARBOURVIEW,1994,HIGHRISE,CONDO
654258,HIGHRISE,CONDO,RESIDENTIAL,1413,764,1080000,2018,20181,HARBOURVIEW,1994,HIGHRISE,CONDO
711318,HIGHRISE,CONDO,RESIDENTIAL,1008,1389,1400000,2018,20181,HARBOURVIEW,1994,HIGHRISE,CONDO
711787,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,381,367,140000,2018,20182,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
800034,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,986,367,362000,2018,20182,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
759283,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1008,367,370000,2018,20182,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756868,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,961,819,787000,2018,20182,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756872,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,989,819,810000,2018,20182,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
716453,HIGHRISE,CONDO,RESIDENTIAL,1185,743,880000,2018,20182,HARBOURVIEW,1994,HIGHRISE,CONDO
759287,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,985,1637,1613000,2018,20182,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
756278,HIGHRISE,CONDO,RESIDENTIAL,1306,1313,1715000,2018,20182,HARBOURVIEW,1994,HIGHRISE,CONDO
716384,HIGHRISE,CONDO,RESIDENTIAL,1267,1421,1800000,2018,20182,HARBOURVIEW,1994,HIGHRISE,CONDO
716288,HIGHRISE,CONDO,RESIDENTIAL,1311,1755,2300000,2018,20182,HARBOURVIEW,1994,HIGHRISE,CONDO
801278,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,986,367,362000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
801281,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,840,905,760000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
838841,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,945,905,855000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
800051,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,993,862,856000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
800039,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1055,819,864000,2018,20183,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
757293,HIGHRISE,CONDO,RESIDENTIAL,1279,743,950000,2018,20183,HARBOURVIEW,1994,HIGHRISE,CONDO
758553,HIGHRISE,CONDO,RESIDENTIAL,1413,743,1050000,2018,20183,HARBOURVIEW,1994,HIGHRISE,CONDO
758386,HIGHRISE,CONDO,RESIDENTIAL,1454,743,1080000,2018,20183,HARBOURVIEW,1994,HIGHRISE,CONDO
757294,HIGHRISE,CONDO,RESIDENTIAL,1180,1313,1550000,2018,20183,HARBOURVIEW,1994,HIGHRISE,CONDO
811751,HIGHRISE,MEDIUM COST,RESIDENTIAL,241,623,150000,2018,20184,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
800050,HIGHRISE,SERVICE APARTMENT,COMMERCIAL,1455,367,534000,2018,20184,ASTRA SUITES,2004,HIGHRISE,SERVICE APARTMENT
837883,HIGHRISE,MEDIUM COST,RESIDENTIAL,209,623,130000,2019,20191,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
848087,HIGHRISE,MEDIUM COST,RESIDENTIAL,160,623,100000,2019,20192,FLAT JALAN AMAN,1986,HIGHRISE,MEDIUM COST
